,Unnamed: 0,GID_1,AREA,PM25 microgram per cubic metter,year,iso3,Province,Country name,LC_irrigated_cropland,LC_mosaic_cropland,LC_natural_Vegetation,LC_tree_broadleaved,VALUE_70,LC_tree_needleaved,LC_tree_shrub,LC_herbacious,LC_grassland,LC_sparce_vegetation,LC_urban_areas,LC_water_bodies,LC_cropland,LC_shrubland,LC_tree_flooded,Average_wind_speed,Pop density heads per Sqkm,Average_precipitation,Maximum_temperature
0,0,IDN.1_1,4.62699911747,17.8472076894,2007.0,IDN,Aceh,Indonesia,36396912.5053,6051676039.48,5541912463.76,36959754911.8,0.0,344667.732058,0.0,2550541.21723,137867.092823,77688106.8059,135040817.42,774950928.76,4336402604.115,0.0,3169495530.46,2.23050224888,65.2986589709,283.980997001,26.9944827586
1,1,IDN.1_1,4.62699911747,16.3663540061,2008.0,IDN,Aceh,Indonesia,36948380.8766,6012866452.85,5706594706.14,36786938510.9,0.0,344667.732058,0.0,2550541.21723,137867.092823,78515309.3629,141038035.958,755029133.847,4407128422.738,0.0,3158259362.399,1.67249250375,65.7555367171,236.903298351,27.9640742129
2,2,IDN.1_1,4.62699911747,17.0649729869,2009.0,IDN,Aceh,Indonesia,37430915.7015,6040095203.68,5924355779.25,36445303854.9,0.0,344667.732058,0.0,2688408.31005,275734.185647,80652249.3016,146966320.95,747377510.195,4530036935.984,0.0,3130823810.928,2.14096326837,66.1932440478,329.061056972,26.9931146927
3,3,IDN.1_1,4.62699911747,18.4859001498,2010.0,IDN,Aceh,Indonesia,37293048.6087,6051744973.02,6092415765.41,36214100740.3,0.0,344667.732058,0.0,2688408.31005,275734.185647,82306654.4155,152963539.487,736348142.769,4600831688.157,0.0,3115038028.799,1.79992128936,66.6828676816,253.290404798,28.293452024
4,4,IDN.1_1,4.62699911747,17.5877566423,2011.0,IDN,Aceh,Indonesia,37637716.3408,6025481291.84,6133500159.07,36183218511.5,0.0,344667.732058,0.0,2688408.31005,275734.185647,86649467.8394,159787960.582,730764525.51,4623235090.733,0.0,3102767857.537,1.97652548726,67.1469874761,247.252998501,27.2270689655
5,5,IDN.1_1,4.62699911747,17.752835531,2012.0,IDN,Aceh,Indonesia,37086247.9695,6039061200.48,6213738807.09,36038526997.5,0.0,344667.732058,0.0,2688408.31005,275734.185647,94163224.3983,169714391.265,728007183.653,4692444371.332,0.0,3070300157.176,1.8340029985,67.5971643415,130.984932534,27.8384107946
6,6,IDN.1_1,4.62699911747,19.515318775,2013.0,IDN,Aceh,Indonesia,36879447.3302,6062567539.81,6305765091.55,35865779530.2,0.0,344667.732058,0.0,2688408.31005,275734.185647,97609901.7189,194392600.881,725939177.261,4738836648.068,0.0,3055272644.052,1.72818215892,68.1103172752,395.790067466,28.0439842579
7,7,IDN.1_1,4.62699911747,21.758441752,2014.0,IDN,Aceh,Indonesia,37775583.4336,6064704479.75,6401858455.25,35682829898.1,0.0,344667.732058,0.0,2688408.31005,275734.185647,101194446.132,218105740.846,700020163.81,4819075296.089,0.0,3057478517.54,2.22692278861,68.6450514884,251.647188906,27.2898575712
8,8,IDN.1_1,4.62699911747,21.6533542107,2015.0,IDN,Aceh,Indonesia,37706649.8872,6063739410.1,6401720588.16,35682623097.4,0.0,344667.732058,0.0,2688408.31005,275734.185647,101194446.132,227342836.066,699468695.439,4811768340.173,0.0,3057478517.54,1.89502623688,69.1592991436,128.674662669,27.8419377811
9,9,IDN.1_1,4.62699911747,20.1995807146,2016.0,IDN,Aceh,Indonesia,37982384.0728,6072218236.31,6440185507.05,35614516753.6,0.0,344667.732058,0.0,6204019.17705,275734.185647,105192591.824,228790440.54,701054167.006,4831896935.715,0.0,3047689953.948,1.89212143928,69.7051274581,328.65982009,28.4744377811
