Province,Cars,Buses,Trucks,Motorcycles,Total,year
Aceh,130667,640,55531,1490853,1677691,2015
Sumatera Utara,494493,4583,221163,4710627,5430866,2015
Sumatera Barat,215376,3429,111430,1577617,1907852,2015
Riau,248485,4198,153129,2534053,2939865,2015
Jambi,124329,34725,114668,1544027,1817749,2015
Sumatera Selatan,275188,5863,277964,2430833,2989848,2015
Bengkulu,84218,705,38686,701264,824873,2015
Lampung,215223,2612,142483,2692887,3053205,2015
Kepulauan Bangka Belitung,60347,995,39062,738989,839393,2015
Kepulauan Riau,100496,1598,22349,637877,762320,2015
DKI Jakarta,2295254,27216,526284,12494331,15343085,2015
Jawa Barat,3219116,15308,287752,8347954,11870130,2015
Jawa Tengah,1102287,29816,482135,12563430,14177668,2015
DI Yogyakarta,298223,2679,47759,1989874,2338535,2015
Jawa Timur,1439863,29254,622252,15163259,17254628,2015
Banten,154808,2663,55401,1515309,1728181,2015
Bali,369985,8089,130957,3034179,3543210,2015
Nusa Tenggara Barat,80253,2315,59242,1259646,1401456,2015
Nusa Tenggara Timur,48129,3440,35353,570038,656960,2015
Kalimantan Barat,102641,1379,75226,1829791,2009037,2015
Kalimantan Tengah,62863,1149,47503,917902,1029417,2015
Kalimantan Selatan,169559,2080,111718,1772310,2055667,2015
Kalimantan Timur,207809,4634,147741,2145698,2505882,2015
Kalimantan Utara,8865,59,5204,71470,85598,2015
Sulawesi Utara,78123,1126,50011,555832,685092,2015
Sulawesi Tengah,65104,827,38517,808573,913021,2015
Sulawesi Selatan,375813,3074,142450,2638923,3160260,2015
Sulawesi Tenggara,149019,95,24515,479780,653409,2015
Gorontalo,23885,262,18529,275476,318152,2015
Sulawesi Barat,12606,14,6955,232537,252112,2015
Maluku,17301,379,9959,186071,213710,2015
Maluku Utara,14587,76,8513,172855,196031,2015
Papua Barat,28480,208,12317,207502,248507,2015
Papua,30826,819,23099,365164,419908,2015
Indonesia,12304221,196309,4145857,88656931,105303318,2015
Aceh,137559,691,58165,1604137,1800552,2016
Sumatera Utara,527409,4801,229301,4945245,5706756,2016
Sumatera Barat,227434,3568,115095,1675730,2021827,2016
Riau,266525,4427,159064,2667398,3097414,2016
Jambi,131850,34771,116833,1616754,1900208,2016
Sumatera Selatan,294623,5970,282242,2532010,3114845,2016
Bengkulu,89699,737,40348,740531,871315,2016
Lampung,228880,2712,148095,2811899,3191586,2016
Kepulauan Bangka Belitung,64284,1045,39837,770361,875527,2016
Kepulauan Riau,109336,1705,23508,687556,822105,2016
DKI Jakarta,2570433,29336,553320,13338593,16491682,2016
Jawa Barat,3324971,16747,309422,9193057,12844197,2016
Jawa Tengah,1161897,30600,500697,13414092,15107286,2016
DI Yogyakarta,312746,2908,50445,2105008,2471107,2016
Jawa Timur,1542941,30285,644795,16190169,18408190,2016
Banten,171565,2883,59260,1663873,1897581,2016
Bali,392269,8440,136197,3204097,3741003,2016
Nusa Tenggara Barat,84880,2383,62393,1356174,1505830,2016
Nusa Tenggara Timur,51014,3502,37808,626225,718549,2016
Kalimantan Barat,110756,1409,77949,1912060,2102174,2016
Kalimantan Tengah,68509,1205,50179,967011,1086904,2016
Kalimantan Selatan,181292,2214,115342,1859070,2157918,2016
Kalimantan Timur,220037,4872,153692,2219814,2598415,2016
Kalimantan Utara,9072,72,5288,73303,87735,2016
Sulawesi Utara,86484,1185,53702,595256,736627,2016
