,Parameters,Area,Number of provinces,Variable
0,"(0, 0, 0)","Aceh (Indonesia), Bali (Indonesia), Banten (Indonesia), Bengkulu (Indonesia), Gorontalo (Indonesia), Jawa Barat (Indonesia), Kalimantan Tengah (Indonesia), Maluku Utara (Indonesia), Papua (Indonesia), Papua Barat (Indonesia), Yogyakarta (Indonesia), Kedah (Malaysia), Kelantan (Malaysia), Perlis (Malaysia), Chon Buri (Thailand), Nakhon Ratchasima (Thailand), Nonthaburi (Thailand), Pathum Thani (Thailand), Phatthalung (Thailand), Phrae (Thailand), Ranong (Thailand), Tak (Thailand), Trat (Thailand)",23,LC_urban_areas
1,"(0, 0, 1)","Kalimantan Selatan (Indonesia), Kepulauan Riau (Indonesia), Sulawesi Barat (Indonesia), Sumatera Selatan (Indonesia), Johor (Malaysia), Pahang (Malaysia), Penang (Malaysia), Putrajaya (Malaysia), Sabah (Malaysia), Selangor (Malaysia), Terengganu (Malaysia), Cagayan Valley (Philippines), North Mindanao (Philippines), Western Visayas (Philippines), Ang Thong (Thailand), Bangkok Metropolis (Thailand), Bueng Kan (Thailand), Chachoengsao (Thailand), Chanthaburi (Thailand), Chumphon (Thailand), Lop Buri (Thailand), Nakhon Nayok (Thailand), Nakhon Pathom (Thailand), Nakhon Phanom (Thailand), Pattani (Thailand), Phichit (Thailand), Phra Nakhon Si Ayutthaya (Thailand), Prachin Buri (Thailand), Prachuap Khiri Khan (Thailand), Rayong (Thailand), Sa Kaeo (Thailand), Samut Prakan (Thailand), Samut Sakhon (Thailand), Saraburi (Thailand), Satun (Thailand), Sing Buri (Thailand), Songkhla (Thailand), Uttaradit (Thailand), Yala (Thailand)",39,LC_urban_areas
2,"(1, 0, 0)","Bangka Belitung (Indonesia), Jakarta Raya (Indonesia), Jambi (Indonesia), Jawa Tengah (Indonesia), Jawa Timur (Indonesia), Kalimantan Timur (Indonesia), Maluku (Indonesia), Nusa Tenggara Timur (Indonesia), Sulawesi Tengah (Indonesia), Sulawesi Tenggara (Indonesia), Sumatera Barat (Indonesia), Malacca (Malaysia), Negeri Sembilan (Malaysia), Perak (Malaysia), Sarawak (Malaysia), ARMM (Philippines), Calabarzon (Philippines), Caraga (Philippines), Central Visayas (Philippines), Cordilera Administrative Region (Philippines), Davao Region (Philippines), Eastern Visayas (Philippines), Mimaropa (Philippines), National Capital Region (Philippines), Zamboanga Peninsula (Philippines), Singapore (Singapore), Chai Nat (Thailand), Kalasin (Thailand), Khon Kaen (Thailand), Krabi (Thailand), Lampang (Thailand), Lamphun (Thailand), Loei (Thailand), Mukdahan (Thailand), Nakhon Sawan (Thailand), Nan (Thailand), Narathiwat (Thailand), Nong Khai (Thailand), Phangnga (Thailand), Phetchaburi (Thailand), Phitsanulok (Thailand), Ratchaburi (Thailand), Roi Et (Thailand), Sakon Nakhon (Thailand), Samut Songkhram (Thailand), Suphan Buri (Thailand), Surat Thani (Thailand), Trang (Thailand), Udon Thani (Thailand), Uthai Thani (Thailand), Yasothon (Thailand)",51,LC_urban_areas
3,"(1, 0, 1)","Kalimantan Barat (Indonesia), Lampung (Indonesia), Nusa Tenggara Barat (Indonesia), Riau (Indonesia), Sulawesi Selatan (Indonesia), Sulawesi Utara (Indonesia), Sumatera Utara (Indonesia), Kuala Lumpur (Malaysia), Bicol Region (Philippines), Central Luzon (Philippines), IIocos Region (Philippines), Soccsksargen (Philippines), Amnat Charoen (Thailand), Buri Ram (Thailand), Chaiyaphum (Thailand), Chiang Mai (Thailand), Kamphaeng Phet (Thailand), Kanchanaburi (Thailand), Maha Sarakham (Thailand), Nakhon Si Thammarat (Thailand), Nong Bua Lam Phu (Thailand), Phuket (Thailand), Si Sa Ket (Thailand), Sukhothai (Thailand), Surin (Thailand), Ubon Ratchathani (Thailand)",26,LC_urban_areas
4,"(2, 0, 0)","Chiang Rai (Thailand), Mae Hong Son (Thailand), Phayao (Thailand), Phetchabun (Thailand)",4,LC_urban_areas
0,"(0, 0, 0)","Sumatera Barat (Indonesia), Bicol Region (Philippines), Caraga (Philippines), IIocos Region (Philippines), Zamboanga Peninsula (Philippines), Bueng Kan (Thailand), Chiang Rai (Thailand), Chumphon (Thailand), Khon Kaen (Thailand), Lamphun (Thailand), Mae Hong Son (Thailand), Nakhon Ratchasima (Thailand), Nakhon Si Thammarat (Thailand), Nong Bua Lam Phu (Thailand), Nong Khai (Thailand), Pattani (Thailand), Phetchabun (Thailand), Phetchaburi (Thailand), Phichit (Thailand), Prachuap Khiri Khan (Thailand), Ratchaburi (Thailand), Samut Songkhram (Thailand), Suphan Buri (Thailand), Trat (Thailand), Ubon Ratchathani (Thailand), Uttaradit (Thailand)",26,Pop density heads per Sqkm
1,"(0, 0, 1)","Bengkulu (Indonesia), Jawa Tengah (Indonesia), Nusa Tenggara Barat (Indonesia), Sulawesi Utara (Indonesia), Kelantan (Malaysia), Kuala Lumpur (Malaysia), Penang (Malaysia), Perlis (Malaysia), Putrajaya (Malaysia), Terengganu (Malaysia), Central Visayas (Philippines), Davao Region (Philippines), Eastern Visayas (Philippines), Mimaropa (Philippines), National Capital Region (Philippines), North Mindanao (Philippines), Western Visayas (Philippines), Ang Thong (Thailand), Chanthaburi (Thailand), Krabi (Thailand), Lampang (Thailand), Loei (Thailand), Lop Buri (Thailand), Nan (Thailand), Phangnga (Thailand), Phatthalung (Thailand), Sa Kaeo (Thailand), Satun (Thailand), Songkhla (Thailand), Sukhothai (Thailand), Surat Thani (Thailand), Tak (Thailand), Trang (Thailand), Yala (Thailand), Yasothon (Thailand)",35,Pop density heads per Sqkm
2,"(1, 0, 0)","Jakarta Raya (Indonesia), Yogyakarta (Indonesia), Chachoengsao (Thailand), Kalasin (Thailand), Mukdahan (Thailand), Nakhon Nayok (Thailand), Nakhon Pathom (Thailand), Nakhon Sawan (Thailand), Phra Nakhon Si Ayutthaya (Thailand), Uthai Thani (Thailand)",10,Pop density heads per Sqkm
3,"(1, 0, 1)","Aceh (Indonesia), Bali (Indonesia), Bangka Belitung (Indonesia), Banten (Indonesia), Gorontalo (Indonesia), Jambi (Indonesia), Jawa Barat (Indonesia), Jawa Timur (Indonesia), Kalimantan Barat (Indonesia), Kalimantan Selatan (Indonesia), Kalimantan Tengah (Indonesia), Kalimantan Timur (Indonesia), Kepulauan Riau (Indonesia), Lampung (Indonesia), Maluku (Indonesia), Maluku Utara (Indonesia), Nusa Tenggara Timur (Indonesia), Papua (Indonesia), Papua Barat (Indonesia), Riau (Indonesia), Sulawesi Barat (Indonesia), Sulawesi Selatan (Indonesia), Sulawesi Tengah (Indonesia), Sulawesi Tenggara (Indonesia), Sumatera Selatan (Indonesia), Sumatera Utara (Indonesia), Johor (Malaysia), Kedah (Malaysia), Malacca (Malaysia), Negeri Sembilan (Malaysia), Pahang (Malaysia), Perak (Malaysia), Sabah (Malaysia), Sarawak (Malaysia), Selangor (Malaysia), ARMM (Philippines), Cagayan Valley (Philippines), Calabarzon (Philippines), Central Luzon (Philippines), Cordilera Administrative Region (Philippines), Soccsksargen (Philippines), Singapore (Singapore), Amnat Charoen (Thailand), Bangkok Metropolis (Thailand), Buri Ram (Thailand), Chai Nat (Thailand), Chaiyaphum (Thailand), Chiang Mai (Thailand), Chon Buri (Thailand), Kamphaeng Phet (Thailand), Kanchanaburi (Thailand), Maha Sarakham (Thailand), Nakhon Phanom (Thailand), Narathiwat (Thailand), Nonthaburi (Thailand), Pathum Thani (Thailand), Phayao (Thailand), Phitsanulok (Thailand), Phrae (Thailand), Phuket (Thailand), Prachin Buri (Thailand), Ranong (Thailand), Rayong (Thailand), Roi Et (Thailand), Sakon Nakhon (Thailand), Samut Prakan (Thailand), Samut Sakhon (Thailand), Saraburi (Thailand), Si Sa Ket (Thailand), Sing Buri (Thailand), Surin (Thailand), Udon Thani (Thailand)",72,Pop density heads per Sqkm
0,"(0, 0, 0)","Aceh (Indonesia), Gorontalo (Indonesia), Kalimantan Selatan (Indonesia), Kepulauan Riau (Indonesia), Riau (Indonesia), Sulawesi Barat (Indonesia), Sulawesi Selatan (Indonesia), Sulawesi Tengah (Indonesia), Sulawesi Tenggara (Indonesia), Sulawesi Utara (Indonesia), Sumatera Selatan (Indonesia), Caraga (Philippines), Central Visayas (Philippines), National Capital Region (Philippines), North Mindanao (Philippines), Western Visayas (Philippines), Chachoengsao (Thailand), Chai Nat (Thailand), Chaiyaphum (Thailand), Chanthaburi (Thailand), Chiang Mai (Thailand), Chiang Rai (Thailand), Chon Buri (Thailand), Chumphon (Thailand), Kalasin (Thailand), Kamphaeng Phet (Thailand), Kanchanaburi (Thailand), Khon Kaen (Thailand), Krabi (Thailand), Lamphun (Thailand), Loei (Thailand), Lop Buri (Thailand), Nakhon Nayok (Thailand), Nakhon Pathom (Thailand), Nakhon Phanom (Thailand), Nakhon Ratchasima (Thailand), Nakhon Si Thammarat (Thailand), Nan (Thailand), Phatthalung (Thailand), Phayao (Thailand), Phetchabun (Thailand), Phetchaburi (Thailand), Phichit (Thailand), Phitsanulok (Thailand), Phrae (Thailand), Rayong (Thailand), Roi Et (Thailand), Satun (Thailand), Si Sa Ket (Thailand), Songkhla (Thailand), Sukhothai (Thailand), Suphan Buri (Thailand), Trang (Thailand), Trat (Thailand), Ubon Ratchathani (Thailand), Udon Thani (Thailand)",56,Cars
